permit_number;permit_type;filed_date;issued_date;completed_date;current_status;neighborhood;estimated_cost;days_to_issue;days_to_complete;year
201706139184;additions alterations or repairs;2017-06-13;NULL;NULL;filed;South of Market;1.0;NULL;NULL;2017
201706139189;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;West of Twin Peaks;3358.0;0.0;NULL;2017
201706139190;otc alterations permit;2017-06-13;2017-06-14;2017-06-29;complete;Financial District/South Beach;1.0;1.0;16.0;2017
M730509;otc alterations permit;2016-10-17;2017-06-13;NULL;issued;Western Addition;NULL;239.0;NULL;2016
201706139191;additions alterations or repairs;2017-06-13;NULL;NULL;filed;South of Market;72000.0;NULL;NULL;2017
201706139193;additions alterations or repairs;2017-06-13;NULL;NULL;filed;Chinatown;72000.0;NULL;NULL;2017
201706139194;additions alterations or repairs;2017-06-13;NULL;NULL;filed;Bernal Heights;150000.0;NULL;NULL;2017
201706139195;additions alterations or repairs;2017-06-13;NULL;NULL;filed;Financial District/South Beach;72000.0;NULL;NULL;2017
M730947;otc alterations permit;2016-10-17;2017-06-13;NULL;issued;Pacific Heights;NULL;239.0;NULL;2016
201706139197;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Lakeshore;1.0;0.0;NULL;2017
M796407;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;North Beach;NULL;0.0;NULL;2017
M796431;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Mission;NULL;0.0;NULL;2017
M796429;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
201706139198;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Hayes Valley;6100.0;0.0;NULL;2017
M796430;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Mission;NULL;0.0;NULL;2017
M796428;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
M796427;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Chinatown;NULL;0.0;NULL;2017
201706139203;otc alterations permit;2017-06-13;NULL;NULL;filed;Lone Mountain/USF;50000.0;NULL;NULL;2017
201706139209;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Financial District/South Beach;1.0;0.0;NULL;2017
M734870;otc alterations permit;2016-10-31;2017-06-13;NULL;issued;Haight Ashbury;NULL;225.0;NULL;2016
M734870;otc alterations permit;2016-10-31;2017-06-13;NULL;issued;Unknown;NULL;225.0;NULL;2016
201706139211;otc alterations permit;2017-06-13;2017-06-13;2017-06-21;complete;Inner Sunset;6600.0;0.0;8.0;2017
201706139210;additions alterations or repairs;2017-06-13;NULL;NULL;filed;Chinatown;100000.0;NULL;NULL;2017
M736007;otc alterations permit;2016-11-03;2017-06-13;NULL;issued;Bernal Heights;NULL;222.0;NULL;2016
M796447;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Potrero Hill;NULL;0.0;NULL;2017
201706139212;additions alterations or repairs;2017-06-13;2018-02-20;NULL;issued;Marina;340121.0;252.0;NULL;2017
201706139219;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Presidio Heights;18000.0;0.0;NULL;2017
201706139221;otc alterations permit;2017-06-13;2017-06-22;NULL;issued;Tenderloin;100000.0;9.0;NULL;2017
201706139218;otc alterations permit;2017-06-13;2017-06-30;2018-01-12;complete;Marina;120000.0;17.0;213.0;2017
201706139142;otc alterations permit;2017-06-13;2017-06-13;NULL;cancelled;Oceanview/Merced/Ingleside;2116.0;0.0;NULL;2017
M796467;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
201706139224;additions alterations or repairs;2017-06-13;NULL;NULL;filed;Financial District/South Beach;1.0;NULL;NULL;2017
